id,Name,Team,Position,Height
14798,L. Piszczek,Borussia Dortmund,DF,184
399599,A. Isak,Borussia Dortmund,FW,190
224677,J. Weigl,Borussia Dortmund,MD,186
447223,J. Sancho,Borussia Dortmund,MD,178
3320,N. Sahin,Borussia Dortmund,MD,180
397028,D. Zagadou,Borussia Dortmund,DF,196
14816,S. Kagawa,Borussia Dortmund,MD,175
28907,R. Guerreiro,Borussia Dortmund,DF,170
70123,A. Witsel,Borussia Dortmund,MD,188
18706,E. Durm,Borussia Dortmund,DF,183
14800,M. Schmelzer,Borussia Dortmund,DF,180
15024,M. Reus,Borussia Dortmund,FW,180
297957,M. Akanji,Borussia Dortmund,DF,187
14789,A. Schurrle,Borussia Dortmund,FW,184
472696,S. Martin,Borussia Dortmund,MD,171
55990,T. Delaney,Borussia Dortmund,MD,182
396475,A. Mouh,Borussia Dortmund,DF,179
14770,G. Randon,Borussia Dortmund,MD,172
14778,O. Toprak,Borussia Dortmund,DF,186
49968,R. Burki,Borussia Dortmund,GK,187
105622,A. Yarmolenko,Borussia Dortmund,FW,189
14687,S. Papastathopoulos,Borussia Dortmund,DF,186
149389,J. Toljan,Borussia Dortmund,DF,182
14806,M. Gotze,Borussia Dortmund,MD,176
272363,M. Dahoud,Borussia Dortmund,MD,177
391530,C. Pulisic,Borussia Dortmund,MD,172
236528,N. Elvedi,Borussia M'gladbach,DF,189
15018,P. Herrmann,Borussia M'gladbach,MD,179
504037,L. Beyer,Borussia M'gladbach,DF,187
15804,F. Johnson,Borussia M'gladbach,MD,183
363648,J. Gaona,Borussia M'gladbach,FW,174
340476,R. Oxford,Borussia M'gladbach,DF,191
391551,F. Mayer,Borussia M'gladbach,DF,190
49907,R. Bobadilla,Borussia M'gladbach,FW,181
337781,J. Hoffmanns,Borussia M'gladbach,DF,176
14838,C. Kramer,Borussia M'gladbach,MD,191
327077,M. Nicolas,Borussia M'gladbach,GK,193
360992,D. Lado,Borussia M'gladbach,MD,191
49855,Y. Sommer,Borussia M'gladbach,GK,183
404219,M. Cuisance,Borussia M'gladbach,MD,181
14991,M. Ginter,Borussia M'gladbach,DF,191
49977,M. Lang,Borussia M'gladbach,DF,185
15019,T. Jantschke,Borussia M'gladbach,DF,177
15014,O. Wendt,Borussia M'gladbach,DF,181
25622,T. Hazard,Borussia M'gladbach,FW,174
18591,J. Hofmann,Borussia M'gladbach,MD,176
372316,M. Benger,Borussia M'gladbach,MD,188
15051,L. Stindl,Borussia M'gladbach,FW,181
15061,T. Sippel,Borussia M'gladbach,GK,183
15107,R. Araujo,Borussia M'gladbach,FW,174
282194,L. Benes,Borussia M'gladbach,MD,181
15813,T. Strobl,Borussia M'gladbach,MD,188
221452,V. Grifo,Borussia M'gladbach,MD,180
14758,I. Traore,Borussia M'gladbach,MD,171
50023,J. Drmic,Borussia M'gladbach,FW,183
25950,A. Knockaert,Brighton & Hove Albion,MD,172
26495,G. Songo,Brighton & Hove Albion,DF,187
79381,A. Jahanbakhsh,Brighton & Hove Albion,FW,180
15526,P. Gross,Brighton & Hove Albion,MD,181
91381,J. Mena,Brighton & Hove Albion,FW,171
8086,D. Stephens,Brighton & Hove Albion,MD,185
247248,S. March,Brighton & Hove Albion,MD,180
9097,L. Dunk,Brighton & Hove Albion,DF,192
3278,B. Grau,Brighton & Hove Albion,DF,181
20855,M. Schelotto,Brighton & Hove Albion,DF,187
8242,S. Duffy,Brighton & Hove Albion,DF,193
61961,B. Kayal,Brighton & Hove Albion,MD,178
61390,M. Ryan,Brighton & Hove Albion,GK,184
120,J. Locadia,Brighton & Hove Albion,FW,185
16443,L. Balogun,Brighton & Hove Albion,DF,190
466,D. Propper,Brighton & Hove Albion,MD,185
8416,G. Murray,Brighton & Hove Albion,FW,185
64966,M. Suttner,Brighton & Hove Albion,DF,179
8925,A. Westwood,Burnley,MD,170
9164,C. Taylor,Burnley,DF,185
9623,R. Brady,Burnley,MD,175
7912,A. Lindegaard,Burnley,GK,193
93,J. Gudmundsson,Burnley,MD,186
8433,S. Ward,Burnley,DF,184
9127,S. Vokes,Burnley,FW,188
70092,S. Defour,Burnley,MD,175
8516,P. Bardsley,Burnley,DF,180
8980,J. Hendrick,Burnley,MD,185
9433,J. Tarkowski,Burnley,DF,191
8284,A. Lennon,Burnley,MD,165
12242,N. Pope,Burnley,GK,192
8301,J. Hart,Burnley,GK,194
9123,A. Barnes,Burnley,FW,186
77502,T. Heaton,Burnley,GK,188
10108,K. Long,Burnley,DF,187
8944,B. Mee,Burnley,DF,180
9206,C. Wood,Burnley,FW,191
8643,M. Lowton,Burnley,DF,180
8963,A. Legzdins,Burnley,GK,183
8125,J. Cork,Burnley,MD,185
407699,B. Avounou,Caen,MD,179
234138,J. Repas,Caen,MD,171
28908,F. Guilbert,Caen,DF,178
25888,F. Fajr,Caen,MD,178
38015,S. Peeters,Caen,MD,188
27004,M. Dreyer,Caen,GK,188
131321,C. Yao,Caen,FW,182
25859,I. Diomande,Caen,MD,183
25715,R. Rodelin,Caen,FW,192
25647,J. Feret,Caen,MD,187
215281,A. Mbengue,Caen,DF,178
229427,A. Djiku,Caen,DF,182
209211,M. Nkololo,Caen,MD,183
328021,F. Joncour,Caen,DF,193
26131,B. Samba,Caen,GK,186
437636,J. Deminguet,Caen,MD,178
493412,Y. Armougom,Caen,DF,173
70171,E. Imorou,Caen,DF,181
26069,H. Bazile,Caen,FW,181
275032,E. Crivelli,Caen,FW,184
26528,R. Genevois,Caen,DF,182
399576,T. Stavitski,Caen,MD,180
15004,I. Santini,Caen,FW,190
25947,B. Sankoh,Caen,DF,180
26399,D. Silva,Caen,DF,184
20472,S. Padoin,Cagliari,MD,179
21959,N. Giannetti,Cagliari,FW,181
434142,F. Caligara,Cagliari,MD,180
21865,M. Sau,Cagliari,FW,169
21299,R. Pinheiro,Cagliari,GK,187
74,R. Klavan,Cagliari,DF,187
404209,K. Han,Cagliari,FW,178
116171,J. Galvao,Cagliari,MD,184
21639,L. Ceppitelli,Cagliari,DF,186
335634,D. Valencia,Cagliari,FW,187
20636,M. Andreolli,Cagliari,DF,187
472938,L. Crosta,Cagliari,GK,190
402898,S. Miangue,Cagliari,DF,192
20875,D. Dessena,Cagliari,MD,183
50073,A. Ionita,Cagliari,MD,184
283832,F. Romagna,Cagliari,DF,186
231713,F. Bradaric,Cagliari,MD,185
263591,A. Deiola,Cagliari,MD,190
507570,R. Daga,Cagliari,GK,192
23314,D. Farias,Cagliari,FW,173
92900,C. Lykogiannis,Cagliari,DF,186
134413,A. Cragno,Cagliari,GK,183
22933,L. Pavoletti,Cagliari,FW,188
22732,F. Pisacane,Cagliari,DF,178
220359,P. Farago,Cagliari,MD,187
20850,L. Cigarini,Cagliari,MD,175
286223,N. Barella,Cagliari,MD,172
105332,D. Srna,Cagliari,DF,178
3840,I. Juncal,Celta de Vigo,FW,176
3827,H. Novegil,Celta de Vigo,DF,173
3822,R. Veiga,Celta de Vigo,GK,188
3916,G. Caceres,Celta de Vigo,DF,182
3821,S. Conde,Celta de Vigo,GK,179
275296,D. Cordal,Celta de Vigo,DF,184
302550,B. Portela,Celta de Vigo,MD,187
395636,M. Gonzalez,Celta de Vigo,FW,186
786,R. Mazan,Celta de Vigo,DF,180
241945,P. Emirmija,Celta de Vigo,MD,171
334817,L. Boye,Celta de Vigo,FW,180
4424,J. Otto,Celta de Vigo,DF,175
3338,S. Sola,Celta de Vigo,DF,185
26652,D. Wass,Celta de Vigo,MD,181
269060,P. Hernandez,Celta de Vigo,MD,185
3337,A. Prat,Celta de Vigo,DF,186
281255,E. Mor,Celta de Vigo,FW,169
86183,F. Roncaglia,Celta de Vigo,DF,179
135113,A. Hjulsager,Celta de Vigo,MD,175
167641,S. Lobotka,Celta de Vigo,MD,170
4911,J. Ruiz,Celta de Vigo,MD,180
215983,S. Boufal,Celta de Vigo,MD,170
140125,N. Radoja,Celta de Vigo,MD,186
135103,A. Christensen,Chelsea,DF,188
423162,E. Ampadu,Chelsea,DF,182
69404,M. Kovacic,Chelsea,MD,178
235555,R. Loftus-Cheek,Chelsea,MD,191
7892,D. Marinho,Chelsea,DF,189
3551,W. Caballero,Chelsea,GK,186
7887,G. Cahill,Chelsea,DF,193
25553,C. Tanco,Chelsea,DF,178
14748,A. Rudiger,Chelsea,DF,191
40787,E. Santos,Chelsea,DF,176
3324,A. Martin,Chelsea,FW,189
8032,M. Mendoza,Chelsea,DF,188
3360,P. Ledesma,Chelsea,FW,167
3397,K. Revuelta,Chelsea,GK,189
22889,D. Zappacosta,Chelsea,DF,182
31528,N. Kante,Chelsea,MD,168
26010,O. Giroud,Chelsea,FW,192
8544,R. Green,Chelsea,GK,191
8246,R. Barkley,Chelsea,MD,189
8625,V. Moses,Chelsea,MD,177
105333,W. Silva,Chelsea,MD,175
25707,E. Hazard,Chelsea,FW,173
8495,D. Drinkwater,Chelsea,MD,177
3350,F. Soler,Chelsea,MD,175
20638,D. Dainelli,Chievo,DF,191
278813,S. Bastien,Chievo,MD,177
20662,S. Pellissier,Chievo,FW,175
449978,M. Leris,Chievo,FW,185
21119,R. Meggiorini,Chievo,FW,182
20525,J. Obi,Chievo,MD,176
20495,M. Gobbi,Chievo,DF,183
20748,N. Tomovic,Chievo,DF,184
20633,S. Sorrentino,Chievo,GK,185
20653,P. Hetemaj,Chievo,MD,175
86301,L. Castro,Chievo,MD,182
269188,P. Jaroszynski,Chievo,DF,184
400684,S. Tanasijevic,Chievo,DF,183
21148,N. Rigoni,Chievo,MD,185
21730,M. Rigione,Chievo,DF,185
21291,V. Birsa,Chievo,MD,184
20468,E. Giaccherini,Chievo,MD,167
99511,M. Stepinski,Chievo,FW,183
21438,R. Inglese,Chievo,FW,187
21564,I. Radovanovic,Chievo,MD,186
272280,G. Gaudino,Chievo,MD,175
24964,M. Pucciarelli,Chievo,FW,174
21840,A. Seculin,Chievo,GK,190
415809,F. Depaoli,Chievo,MD,182
485014,E. Vignato,Chievo,FW,175
417230,A. Confente,Chievo,GK,194
21607,F. Cacciatore,Chievo,DF,182
215869,M. Bani,Chievo,DF,189
293198,H. Romero,Crotone,MD,186
250956,F. Ricci,Crotone,FW,175
49979,D. Pavlovic,Crotone,DF,183
368642,G. Crociata,Crotone,MD,174
51151,M. Rohden,Crotone,MD,182
20815,A. Barberis,Crotone,MD,177
72397,S. Nwankwo,Crotone,FW,198
21655,A. Stoian,Crotone,FW,178
347026,M. Tumminello,Crotone,FW,185
21528,F. Ceccherini,Crotone,DF,187
392395,A. Viscovo,Crotone,GK,190
11156,M. Trotta,Crotone,FW,188
22185,B. Martella,Crotone,DF,184
272878,A. Nalini,Crotone,FW,180
456565,G. Cuomo,Crotone,DF,190
21280,M. Sampirisi,Crotone,DF,188
402014,N. Zanellato,Crotone,MD,187
302799,R. Mandragora,Crotone,MD,183
21370,M. Capuano,Crotone,DF,185
137048,S. Simic,Crotone,DF,187
49857,A. Ajeti,Crotone,DF,184
21900,M. Festa,Crotone,GK,190
69513,A. Budimir,Crotone,FW,190
419204,M. Diaby,Crotone,FW,170
20516,M. Faraoni,Crotone,DF,180
10113,A. Benali,Crotone,MD,173
21494,A. Cordaz,Crotone,GK,188
8554,J. Tomkins,Crystal Palace,DF,192
8391,J. Speroni,Crystal Palace,GK,186
486252,A. Wan-Bissaka,Crystal Palace,DF,183
8142,J. Puncheon,Crystal Palace,MD,173
25571,J. Ayew,Crystal Palace,FW,182
454,P. Aanholt,Crystal Palace,DF,175
8186,S. Dann,Crystal Palace,DF,195
8623,J. McArthur,Crystal Palace,MD,178
25703,P. Souare,Crystal Palace,DF,178
127537,L. Milivojevic,Crystal Palace,MD,186
8421,J. Williams,Crystal Palace,MD,168
37725,C. Kouyate,Crystal Palace,MD,193
297258,S. Kaikai,Crystal Palace,MD,178
240559,J. Riedewald,Crystal Palace,DF,182
8501,J. Schlupp,Crystal Palace,DF,178
8425,W. Hennessey,Crystal Palace,GK,198
38031,C. Liolo,Crystal Palace,FW,190
55224,A. Sorloth,Crystal Palace,FW,194
8221,J. Ward,Crystal Palace,DF,188
8422,W. Zaha,Crystal Palace,MD,180
7958,M. Kelly,Crystal Palace,DF,191
25430,M. Sakho,Crystal Palace,DF,187
8471,A. Townsend,Crystal Palace,MD,181
225022,R. Sanchez,Deportivo Alaves,DF,180
38436,C. Kwasniewski,Deportivo Alaves,FW,184
359847,A. Sag,Deportivo Alaves,MD,182
7585,M. Sanchez,Deportivo Alaves,MD,182
