3324,A Martin,Chelsea,FW,24 (7),0.03,-0.01,0.16,0.18
3326,J Ruiz,PSG,FW,8 (5),0.01,-0.0,0.04,0.04
332605,R Sobhi,Huddersfield Town,MD,12 (11),0.01,0.05,0.08,0.13
3327,J Mato,Newcastle United,FW,19 (11),0.1,0.04,-0.04,0.1
3343,I Afellay,Stoke City,MD,1 (5),0.01,-0.0,0.0,0.0
3348,G Lazaro,Watford,FW,5 (2),0.0,0.07,0.13,0.21
3350,F Soler,Chelsea,MD,25 (7),0.01,0.12,-0.0,0.12
3351,F Far,Watford,DF,19 (3),-0.01,0.09,0.03,0.1
3360,P Ledesma,Chelsea,FW,17 (13),0.01,0.04,0.05,0.1
3361,A Sanchez,Manchester United,FW,29 (2),0.01,0.16,0.12,0.29
337225,R Aarons,Hellas Verona,MD,1 (3),0.01,-0.2,-0.05,-0.23
339789,M Zazon,Real Sociedad,MD,14 (10),0.06,0.02,0.02,0.09
340,R Martina,Stoke City,DF,20 (1),0.0,0.07,-0.01,0.07
340386,G Jesus,Manchester City,FW,20 (9),0.03,-0.04,0.25,0.25
340476,R Oxford,Borussia M'gladbach,DF,0 (1),0.0,0.03,0.0,0.03
3413,A Aguera,Manchester United,MD,13 (13),0.02,0.01,-0.03,0.01
3424,F Torres,Tottenham Hotspur,FW,1 (15),0.1,-0.05,0.01,0.06
3429,T Courtois,Real Madrid,GK,35 (0),0.0,-0.0,0.0,-0.0
3436,J Gaitan,Newcastle United,DF,20 (1),0.01,0.02,-0.0,0.02
343951,T Abraham,Unknown,FW,15 (15),0.13,0.01,0.04,0.18
346071,O Burke,West Bromwich Albion,MD,2 (12),0.02,0.04,-0.07,-0.01
346101,T Alexander-Arnold,Liverpool,DF,18 (0),0.01,0.11,0.05,0.17
346158,E Nketiah,Unknown,FW,0 (2),0.0,0.0,-0.29,-0.28
346159,J Willock,Unknown,MD,1 (1),0.04,-0.11,0.0,-0.07
350976,B Chilwell,Leicester City,DF,20 (4),0.03,0.04,-0.01,0.07
351808,B Woodburn,Unknown,FW,0 (1),0.0,0.01,0.0,0.01
3523,F Lejeune,Newcastle United,DF,24 (0),0.05,0.04,-0.02,0.08
353236,T Davies,Everton,MD,20 (13),0.02,0.02,0.05,0.09
353241,L Nmecha,Unknown,FW,0 (2),0.0,0.01,0.0,0.01
3551,W Caballero,Chelsea,GK,3 (0),0.01,-0.01,0.0,0.0
3557,J Duarte,Unknown,DF,1 (1),-0.05,0.12,0.0,0.07
355937,M Holgate,Everton,DF,13 (2),0.04,0.0,-0.05,-0.01
3560,I Eraso,Arsenal,DF,26 (2),0.04,0.08,0.16,0.27
3577,J Gimenez,Newcastle United,FW,32 (4),0.14,-0.01,0.0,0.13
3582,A Castillo,West Ham United,GK,19 (0),-0.0,-0.01,0.0,-0.01
36,T Alderweireld,Tottenham Hotspur,DF,13 (1),0.03,0.04,-0.04,0.03
3657,T Hemed,Unknown,FW,9 (6),0.07,-0.03,-0.06,-0.01
365707,J Cullen,Unknown,MD,0 (2),-0.0,0.01,0.0,0.01
3662,C Munoz,Manchester City,GK,2 (1),0.01,0.01,0.0,0.02
370,V Dijk,Liverpool,DF,25 (0),0.14,0.04,-0.1,0.08
370224,R Holding,Arsenal,DF,9 (3),0.08,0.02,-0.01,0.09
377071,R Andrade,Everton,FW,32 (6),0.11,0.02,-0.09,0.03
37725,C Kouyate,Crystal Palace,MD,32 (1),0.1,0.0,-0.02,0.07
37726,C Mangulu,Unknown,DF,7 (2),-0.0,0.05,0.0,0.05
379209,D Rice,West Ham United,DF,15 (7),0.02,-0.02,-0.02,-0.01
38,D Blind,Unknown,DF,4 (2),-0.04,0.03,-0.03,-0.04
3802,P Correia,Barcelona,FW,13 (1),0.01,0.12,0.31,0.44
38021,K Bruyne,Manchester City,MD,36 (1),0.01,0.22,0.06,0.29
38031,C Liolo,Crystal Palace,FW,24 (7),0.25,-0.02,-0.22,0.0
38093,M Tunga,Valencia,FW,3 (9),0.03,-0.02,0.19,0.19
383,D Tadic,Unknown,MD,34 (2),0.01,0.07,0.05,0.13
38377,L Depoitre,Huddersfield Town,FW,18 (11),0.09,-0.03,0.16,0.22
386197,C Roberts,Swansea City,DF,3 (1),-0.0,-0.09,0.0,-0.09
3928,V Fuente,Leicester City,MD,17 (2),0.08,0.01,0.12,0.2
397098,R Nelson,Hoffenheim,MD,2 (1),0.02,0.09,-0.07,0.04
397168,T Fosu-Mensah,Unknown,DF,17 (4),-0.01,-0.01,-0.01,-0.02
397174,S McTominay,Manchester United,MD,7 (5),0.02,0.04,0.0,0.06
397178,M Rashford,Manchester United,FW,18 (15),0.03,0.05,0.18,0.26
399514,T Campbell,Stoke City,FW,0 (4),0.01,0.04,-0.03,0.02
399564,L Sorensen,Stoke City,MD,1 (0),0.01,0.12,0.0,0.12
402884,K Walker-Peters,Tottenham Hotspur,DF,2 (1),0.03,0.23,0.0,0.26
404397,B Diaz,Manchester City,MD,0 (5),0.03,-0.11,-0.14,-0.22
406682,A Lookman,RB Leipzig,MD,1 (6),0.01,-0.03,-0.05,-0.07
40765,L Silva,Tottenham Hotspur,FW,2 (4),0.02,0.1,-0.03,0.1
40787,E Santos,Chelsea,DF,3 (1),0.01,0.11,-0.0,0.12
41174,M Lanzini,West Ham United,MD,23 (4),-0.0,0.08,0.11,0.18
413002,K Mavropanos,Arsenal,DF,3 (0),0.09,-0.04,0.0,0.04
415747,J Simpson,AFC Bournemouth,DF,1 (0),0.02,0.01,0.0,0.03
415748,J Tymon,Stoke City,DF,2 (1),-0.0,-0.01,0.0,-0.02
419784,H Choudhury,Unknown,MD,4 (4),-0.04,0.04,-0.01,0.0
423162,E Ampadu,Chelsea,DF,0 (1),-0.27,0.13,0.0,-0.14
4255,J Ulloa,Unknown,FW,2 (10),0.14,0.02,0.04,0.19
434159,S Field,West Bromwich Albion,MD,7 (3),0.03,0.02,0.12,0.16
4365,R Quevedo,Sevilla,MD,9 (2),0.01,0.02,-0.02,0.0
442211,A Sabiri,Huddersfield Town,MD,2 (3),0.13,-0.03,-0.07,0.03
447205,P Foden,Manchester City,MD,0 (4),0.0,0.15,0.0,0.15
447254,R Harper,West Bromwich Albion,MD,0 (1),0.0,0.05,0.0,0.05
447379,B Baningime,Everton,MD,1 (7),0.01,0.0,0.0,0.01
447538,M Obafemi,Southampton,FW,0 (1),0.0,-0.0,0.0,-0.0
447812,T Edwards,Stoke City,DF,6 (0),0.01,0.03,0.0,0.04
448038,J Ngoy,Unknown,FW,0 (1),0.0,-0.08,0.0,-0.08
448708,H Barnes,West Bromwich Albion,MD,0 (2),0.0,0.04,-0.26,-0.23
